DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,ISO,Country,Subregion,Region,Location,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Start Year,Start Month,End Year,End Month,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update,Admin Cities,Latitude,Longitude
2015-0507-SAU,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),SAU,Saudi Arabia,Western Asia,Asia,"Madinah, Makkah, Hail, Tabuk",No,No,No,144925.0,5.179848324128947,Km2,2015,11,2015,11,12.0,0.0,0.0,0.0,0.0,3965512.0,3721261.0,2418056.0,2761851.0,3709386.0,400805.0,75.55797676894446,"[{""adm1_code"":2625,""adm1_name"":""Hail""},{""adm1_code"":2628,""adm1_name"":""Madinah""},{""adm1_code"":2629,""adm1_name"":""Makkah""},{""adm1_code"":2634,""adm1_name"":""Tabuk""}]",2015-11-18,2023-09-25,"['Hail', 'Madinah', 'Makkah', 'Tabuk']",,
2016-0105-SAU,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),SAU,Saudi Arabia,Western Asia,Asia,"Jizan, Riyadh, Makkah, Madinah, Baha, Asir",No,No,No,4171336.0,5.179848324128947,Km2,2016,4,2016,4,18.0,0.0,915.0,0.0,915.0,2234279.0,2602784.0,2099973.0,1152199.0,2846459.0,4987319.0,76.51121620386147,"[{""adm1_code"":2622,""adm1_name"":""Asir""},{""adm1_code"":2623,""adm1_name"":""Baha""},{""adm1_code"":2627,""adm1_name"":""Jizan""},{""adm1_code"":2628,""adm1_name"":""Madinah""},{""adm1_code"":2629,""adm1_name"":""Makkah""},{""adm1_code"":2633,""adm1_name"":""Riyad""}]",2016-04-15,2023-09-25,"['Asir', 'Baha', 'Jizan', 'Madinah', 'Makkah', 'Riyad']",,
2016-0120-SAU,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,SAU,Saudi Arabia,Western Asia,Asia,"Asir, Baha, Taif",No,No,No,2955577.0,5.179848324128947,Km2,2016,4,2016,4,3.0,0.0,0.0,0.0,0.0,4720587.0,626279.0,957128.0,3824057.0,2919068.0,3221428.0,76.51121620386147,"[{""adm1_code"":2622,""adm1_name"":""Asir""},{""adm1_code"":2623,""adm1_name"":""Baha""},{""adm1_code"":2629,""adm1_name"":""Makkah""}]",2017-08-18,2023-09-25,"['Asir', 'Baha', 'Makkah']",,
2016-0481-SAU,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,SAU,Saudi Arabia,Western Asia,Asia,Makkah,No,No,No,4693055.0,5.122678591456225,Kph,2016,11,2016,11,3.0,2.0,120.0,0.0,122.0,1785816.0,667348.0,3475580.0,1491316.0,377950.0,309345.0,76.51121620386147,"[{""adm1_code"":2629,""adm1_name"":""Makkah""}]",2016-12-08,2023-09-25,['Makkah'],,
2017-0491-SAU,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),SAU,Saudi Arabia,Western Asia,Asia,"Makkah, Jeddah, Taif, Madinah, Tabuk, Al-Jouf",No,No,No,2914301.0,181054.82,Km2,2017,11,2017,11,4.0,0.0,481.0,0.0,481.0,3566522.0,4057671.0,4707261.0,2167048.0,2408800.0,3330524.0,78.14100176276759,"[{""adm1_code"":2626,""adm1_name"":""Jawf""},{""adm1_code"":2628,""adm1_name"":""Madinah""},{""adm1_code"":2629,""adm1_name"":""Makkah""},{""adm1_code"":2634,""adm1_name"":""Tabuk""}]",2017-11-28,2024-10-25,"['Jawf', 'Madinah', 'Makkah', 'Tabuk']",22.707,39.365
2019-0033-SAU,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),SAU,Saudi Arabia,Western Asia,Asia,Tabuk,No,No,No,2600479.0,632315.72,Km2,2019,1,2019,1,12.0,0.0,271.0,0.0,271.0,2507748.0,2610674.0,2595904.0,2539430.0,2614700.0,2480723.0,81.50030940991486,"[{""adm1_code"":2634,""adm1_name"":""Tabuk""}]",2019-01-31,2023-09-25,['Tabuk'],26.674,41.295
2019-0252-SAU,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),SAU,Saudi Arabia,Western Asia,Asia,Taif,No,No,No,1637661.0,238156.72,Km2,2019,5,2019,5,1.0,0.0,36.0,0.0,36.0,1530854.0,3313631.0,4868117.0,728239.0,3703350.0,1013236.0,81.50030940991486,"[{""adm1_code"":2629,""adm1_name"":""Makkah""}]",2019-06-18,2024-10-25,['Makkah'],18.54,45.254
2019-0518-SAU,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),SAU,Saudi Arabia,Western Asia,Asia,Hafar al-Batin,No,No,No,2614217.0,5.179848324128947,Km2,2019,10,2019,10,7.0,11.0,1100.0,0.0,1111.0,3332251.0,280973.0,3823685.0,1695526.0,3739552.0,114643.0,81.50030940991486,"[{""adm1_code"":2624,""adm1_name"":""Eastern Province""}]",2019-10-28,2024-10-25,['Eastern Province'],,
2020-0369-SAU,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),SAU,Saudi Arabia,Western Asia,Asia,"Makkah, Madinah, Asir, Jizan, Najran, Baha",No,No,No,4364983.0,5.179848324128947,Km2,2020,8,2020,8,3.0,0.0,600.0,0.0,600.0,1053460.0,1705010.0,280222.0,650297.0,1964624.0,4183827.0,82.50568384880243,"[{""adm1_code"":2622,""adm1_name"":""Asir""},{""adm1_code"":2623,""adm1_name"":""Baha""},{""adm1_code"":2627,""adm1_name"":""Jizan""},{""adm1_code"":2628,""adm1_name"":""Madinah""},{""adm1_code"":2629,""adm1_name"":""Makkah""},{""adm1_code"":2630,""adm1_name"":""Najran""}]",2020-08-17,2023-09-25,"['Asir', 'Baha', 'Jizan', 'Madinah', 'Makkah', 'Najran']",,
2024-0415-SAU,No,nat-met-ext-hea,Natural,Meteorological,Extreme temperature,Heat wave,SAU,Saudi Arabia,Western Asia,Asia,,No,No,No,4986046.0,51.8,°C,2024,6,2024,6,1301.0,2764.0,0.0,0.0,2764.0,2490054.0,3415225.0,1394784.0,3986508.0,2503947.0,221848.0,100.0,,2024-06-24,2025-01-13,,,
1998-1000-SAU,Yes,nat-hyd-flo-flo,Natural,Biological,Storm,Flood (General),SAU,Saudi Arabia,Western Asia,Asia,Taif,No,No,No,1007378.0,1.4646688973455957,Kph,1998,4,1998,11,4.0,11.0,97.0,2.0,154.0,1683034.0,2150412.0,3538519.0,201660.0,214664.0,310210.0,68.79220944965103,"[{""adm1_code"":2631,""adm1_name"":""Northern Frontier""},{""adm1_code"":2633,""adm1_name"":""Riyad""}]",2009-05-02,2023-09-25,"['Northern Frontier', 'Riyad']",21.339337778224348,37.14300226882912
1998-1001-SAU,No,nat-hyd-flo-flo,Natural,Meteorological,Flood,Severe weather,SAU,Saudi Arabia,Western Asia,Asia,"Makkah, Jeddah, Taif, Madinah, Tabuk, Al-Jouf",No,No,No,3576777.0,2.847150604977192,Km2,1998,2,1998,10,3.0,12.0,101.0,7.0,138.0,1516936.0,4245058.0,2269309.0,4903576.0,4059789.0,4494262.0,33.491648336259075,"[{""adm1_code"":2622,""adm1_name"":""Asir""},{""adm1_code"":2623,""adm1_name"":""Baha""},{""adm1_code"":2629,""adm1_name"":""Makkah""}]",2006-05-25,2023-09-25,"['Asir', 'Baha', 'Makkah']",23.04243989983362,36.830573522671685
2000-1002-SAU,No,nat-hyd-flo-flo,Natural,Hydrological,Extreme temperature,Heat wave,SAU,Saudi Arabia,Western Asia,Asia,Hafar al-Batin,No,No,No,2368632.0,1.1126385817206756,°C,2000,1,2000,7,3.0,14.0,95.0,3.0,167.0,2495550.0,2632667.0,2654762.0,2412511.0,2452577.0,2485941.0,84.88243010477423,"[{""adm1_code"":2626,""adm1_name"":""Jawf""},{""adm1_code"":2628,""adm1_name"":""Madinah""},{""adm1_code"":2629,""adm1_name"":""Makkah""},{""adm1_code"":2634,""adm1_name"":""Tabuk""}]",2014-11-26,2023-09-25,"['Jawf', 'Madinah', 'Makkah', 'Tabuk']",27.309717501561877,45.93510752061481
1998-1003-SAU,No,nat-hyd-flo-flo,Natural,Meteorological,Extreme temperature,Viral disease,SAU,Saudi Arabia,Western Asia,Asia,"Asir, Baha, Taif",No,No,No,1075562.0,1.251433485493874,°C,1998,11,1998,11,4.0,16.0,106.0,2.0,148.0,1802331.0,1995302.0,598036.0,2825121.0,1688741.0,1219577.0,89.78121629222656,"[{""adm1_code"":2622,""adm1_name"":""Asir""},{""adm1_code"":2623,""adm1_name"":""Baha""},{""adm1_code"":2625,""adm1_name"":""Hail""},{""adm1_code"":2627,""adm1_name"":""Jizan""},{""adm1_code"":2628,""adm1_name"":""Madinah""},{""adm1_code"":2629,""adm1_name"":""Makkah""},{""adm1_code"":2634,""adm1_name"":""Tabuk""}]",2013-11-17,2023-09-25,"['Asir', 'Baha', 'Hail', 'Jizan', 'Madinah', 'Makkah', 'Tabuk']",23.605923570913788,43.44913357964575
2021-1004-SAU,No,nat-hyd-flo-flo,Natural,Hydrological,Extreme temperature,Viral disease,SAU,Saudi Arabia,Western Asia,Asia,"Jeddah, Makkah",No,No,No,2472685.0,3.4382500652642323,°C,2021,1,2021,9,4.0,10.0,96.0,3.0,142.0,4093584.0,2712636.0,3331187.0,4149723.0,745874.0,4026902.0,8.470326954557581,"[{""adm1_code"":2629,""adm1_name"":""Makkah""}]",2013-02-20,2023-09-25,['Makkah'],24.17195684124105,41.261165047231685
1960-1005-SAU,No,nat-hyd-flo-flo,Natural,Meteorological,Extreme temperature,Blizzard/Winter storm,SAU,Saudi Arabia,Western Asia,Asia,Jizan,No,No,No,4415678.0,1.646826610661722,°C,1960,3,1960,7,5.0,8.0,105.0,3.0,157.0,4463191.0,3347615.0,913980.0,1427663.0,474147.0,614519.0,40.811966860277145,"[{""adm1_code"":2622,""adm1_name"":""Asir""},{""adm1_code"":2629,""adm1_name"":""Makkah""},{""adm1_code"":2630,""adm1_name"":""Najran""},{""adm1_code"":2633,""adm1_name"":""Riyad""}]",2010-04-18,2023-09-25,"['Asir', 'Makkah', 'Najran', 'Riyad']",19.802200703878395,45.92324522917789
1994-1006-SAU,No,nat-hyd-flo-flo,Natural,Hydrological,Extreme temperature,Bacterial disease,SAU,Saudi Arabia,Western Asia,Asia,"Madinah, Makkah, Hail, Tabuk",No,No,No,1023317.0,2.934818327203613,°C,1994,7,1994,8,10.0,12.0,96.0,3.0,137.0,173920.0,4167021.0,1156998.0,4574544.0,2319778.0,2176157.0,73.21145439995755,"[{""adm1_code"":2622,""adm1_name"":""Asir""},{""adm1_code"":2623,""adm1_name"":""Baha""},{""adm1_code"":2625,""adm1_name"":""Hail""},{""adm1_code"":2627,""adm1_name"":""Jizan""},{""adm1_code"":2628,""adm1_name"":""Madinah""},{""adm1_code"":2629,""adm1_name"":""Makkah""},{""adm1_code"":2634,""adm1_name"":""Tabuk""}]",2009-01-12,2023-09-25,"['Asir', 'Baha', 'Hail', 'Jizan', 'Madinah', 'Makkah', 'Tabuk']",31.446709620620695,43.37440180410646
1962-1007-SAU,Yes,nat-hyd-flo-flo,Natural,Meteorological,Epidemic,Riverine flood,SAU,Saudi Arabia,Western Asia,Asia,Asir,No,No,No,775864.0,5.718966780484351,Vaccinated,1962,1,1962,12,7.0,9.0,118.0,6.0,137.0,4872771.0,598667.0,2707905.0,4589131.0,2829728.0,1840054.0,12.39369373920211,"[{""adm1_code"":2634,""adm1_name"":""Tabuk""}]",2024-02-07,2023-09-25,['Tabuk'],22.289563594668167,48.3806983276567
1981-1008-SAU,No,nat-hyd-flo-flo,Natural,Meteorological,Flood,Heat wave,SAU,Saudi Arabia,Western Asia,Asia,Najran,No,No,No,4219727.0,2.0929706515362305,Km2,1981,7,1981,9,12.0,5.0,101.0,1.0,145.0,1542030.0,2992879.0,351083.0,2321969.0,3718029.0,3433504.0,106.35144219103084,"[{""adm1_code"":2622,""adm1_name"":""Asir""},{""adm1_code"":2623,""adm1_name"":""Baha""},{""adm1_code"":2625,""adm1_name"":""Hail""},{""adm1_code"":2627,""adm1_name"":""Jizan""},{""adm1_code"":2628,""adm1_name"":""Madinah""},{""adm1_code"":2629,""adm1_name"":""Makkah""},{""adm1_code"":2634,""adm1_name"":""Tabuk""}]",2008-07-03,2023-09-25,"['Asir', 'Baha', 'Hail', 'Jizan', 'Madinah', 'Makkah', 'Tabuk']",21.751858419516083,39.4038776639674
1963-1009-SAU,Yes,nat-hyd-flo-flo,Natural,Biological,Epidemic,Heat wave,SAU,Saudi Arabia,Western Asia,Asia,Makkah,No,No,No,4213379.0,2.0619633779437585,Vaccinated,1963,6,1963,9,4.0,12.0,89.0,4.0,152.0,347819.0,2425606.0,4411040.0,827347.0,1110397.0,17215.0,42.37713125838247,"[{""adm1_code"":2622,""adm1_name"":""Asir""},{""adm1_code"":2627,""adm1_name"":""Jizan""},{""adm1_code"":2629,""adm1_name"":""Makkah""},{""adm1_code"":2630,""adm1_name"":""Najran""}]",2019-11-26,2023-09-25,"['Asir', 'Jizan', 'Makkah', 'Najran']",24.260805572819123,39.84434709411869
1981-1010-SAU,Yes,nat-hyd-flo-flo,Natural,Hydrological,Storm,Riverine flood,SAU,Saudi Arabia,Western Asia,Asia,Makkah,No,No,No,1356815.0,2.402642159114708,Kph,1981,9,1981,12,5.0,3.0,104.0,3.0,155.0,2429157.0,1151897.0,2602738.0,3174613.0,532735.0,1164472.0,65.4247886769673,"[{""adm1_code"":2628,""adm1_name"":""Madinah""}]",2006-08-17,2023-09-25,['Madinah'],17.565346570416025,42.37423812675249
2019-1011-SAU,Yes,nat-hyd-flo-flo,Natural,Biological,Flood,Flash flood,SAU,Saudi Arabia,Western Asia,Asia,"Asir, Makkah",No,No,No,1989510.0,8.24280513564851,Km2,2019,1,2019,3,3.0,11.0,105.0,3.0,174.0,1888575.0,4888284.0,1899883.0,1319847.0,1991506.0,3798618.0,62.53704774104917,"[{""adm1_code"":2622,""adm1_name"":""Asir""},{""adm1_code"":2627,""adm1_name"":""Jizan""},{""adm1_code"":2629,""adm1_name"":""Makkah""},{""adm1_code"":2630,""adm1_name"":""Najran""}]",2006-07-24,2023-09-25,"['Asir', 'Jizan', 'Makkah', 'Najran']",20.38337803713814,38.21883679562561
1968-1012-SAU,No,nat-hyd-flo-flo,Natural,Meteorological,Flood,Blizzard/Winter storm,SAU,Saudi Arabia,Western Asia,Asia,Hafar al-Batin,No,No,No,4270683.0,7.936932857677776,Km2,1968,8,1968,8,7.0,9.0,116.0,5.0,142.0,4482876.0,4954368.0,2208911.0,245886.0,2550159.0,4445286.0,88.1157995912141,"[{""adm1_code"":2622,""adm1_name"":""Asir""},{""adm1_code"":2623,""adm1_name"":""Baha""},{""adm1_code"":2625,""adm1_name"":""Hail""},{""adm1_code"":2627,""adm1_name"":""Jizan""},{""adm1_code"":2628,""adm1_name"":""Madinah""},{""adm1_code"":2629,""adm1_name"":""Makkah""},{""adm1_code"":2634,""adm1_name"":""Tabuk""}]",2008-09-25,2023-09-25,"['Asir', 'Baha', 'Hail', 'Jizan', 'Madinah', 'Makkah', 'Tabuk']",29.73460402948819,41.43491041062528
2004-1013-SAU,No,nat-hyd-flo-flo,Natural,Biological,Storm,Viral disease,SAU,Saudi Arabia,Western Asia,Asia,Northwest Region,No,No,No,4947141.0,8.101633462066399,Kph,2004,5,2004,6,8.0,10.0,102.0,4.0,158.0,2961264.0,3023112.0,3799100.0,3815284.0,3427628.0,63965.0,31.11603621518024,"[{""adm1_code"":2622,""adm1_name"":""Asir""},{""adm1_code"":2623,""adm1_name"":""Baha""},{""adm1_code"":2625,""adm1_name"":""Hail""},{""adm1_code"":2627,""adm1_name"":""Jizan""},{""adm1_code"":2628,""adm1_name"":""Madinah""},{""adm1_code"":2629,""adm1_name"":""Makkah""},{""adm1_code"":2634,""adm1_name"":""Tabuk""}]",2012-12-26,2023-09-25,"['Asir', 'Baha', 'Hail', 'Jizan', 'Madinah', 'Makkah', 'Tabuk']",27.293303742059116,49.52977915961202
2021-1014-SAU,No,nat-hyd-flo-flo,Natural,Meteorological,Extreme temperature,Bacterial disease,SAU,Saudi Arabia,Western Asia,Asia,"Asir, Makkah",No,No,No,262515.0,1.940209974216839,°C,2021,3,2021,4,3.0,10.0,102.0,0.0,141.0,3530435.0,1955361.0,3789995.0,1204267.0,1883487.0,3298273.0,78.0536123433848,"[{""adm1_code"":2629,""adm1_name"":""Makkah""}]",2013-06-18,2023-09-25,['Makkah'],27.907386511092767,45.21559140645363
2012-1015-SAU,Yes,nat-hyd-flo-flo,Natural,Biological,Extreme temperature,Severe weather,SAU,Saudi Arabia,Western Asia,Asia,"Makkah, Asir, Najran, Riyadh",No,No,No,3417280.0,8.12211027112733,°C,2012,6,2012,8,4.0,9.0,99.0,3.0,134.0,4585608.0,4162751.0,3080116.0,2402777.0,2643458.0,4489241.0,66.02207522398676,"[{""adm1_code"":2627,""adm1_name"":""Jizan""}]",2022-09-28,2023-09-25,['Jizan'],17.70809705497415,40.03490097195445
